Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2021-11-06;14:37:38;-0.01;124.27;63; ;Mw;6.0;MOLUCCA SEA;2021-11-07 11:27;1058842;
2021-11-01;17:04:16;0.28;96.71;10; ;Mw;6.0;NIAS REGION, INDONESIA;2021-11-01 20:45;1056755;
2021-11-01;00:02:50;-58.02;-25.48;30;f;Mw;6.1;SOUTH SANDWICH ISLANDS REGION;2021-11-01 10:50;1056400;
2021-10-26;05:48:42;-58.41;-14.77;10;f;Mw;6.0;EAST OF SOUTH SANDWICH ISLANDS;2021-10-26 06:23;1053730;
2021-10-24;05:11:34;24.53;121.87;67;f;Mw;6.2;TAIWAN;2021-10-24 07:22;1052266;
2021-10-21;08:10:44;-25.32;179.66;497; ;Mw;6.0;SOUTH OF FIJI ISLANDS;2021-10-21 09:05;1051036;
2021-10-19;05:32:32;34.60;28.30;44; ;Mw;6.0;EASTERN MEDITERRANEAN SEA;2021-10-19 07:28;1050126;
2021-10-18;07:26:52;-13.65;167.02;100; ;Mw;6.1;VANUATU;2021-10-18 09:08;1049770;
2021-10-15;02:44:58;-8.85;158.49;20;f;Mw;6.4;SOLOMON ISLANDS;2021-10-15 03:09;1048466;
2021-10-12;09:24:04;35.04;26.27;20;f;Mw;6.4;CRETE, GREECE;2021-10-12 12:06;1047368;
2021-10-11;09:10:24;56.41;-156.67;58; ;Mw;6.9;ALASKA PENINSULA;2021-10-11 12:15;1046973;
2021-10-09;10:58:28;-21.11;174.55;484; ;Mw;6.9;VANUATU REGION;2021-10-11 12:18;1046031;
2021-10-07;20:13:01;-58.86;158.41;10; ;Mw;6.1;MACQUARIE ISLAND REGION;2021-10-08 06:16;1045386;
2021-10-04;03:54:07;-60.42;-27.65;10; ;Mw;6.2;SOUTH SANDWICH ISLANDS REGION;2021-10-04 06:09;1043860;
2021-10-02;20:43:41;-9.18;67.13;20;f;Mw;6.0;MID-INDIAN RIDGE;2021-10-03 10:56;1043387;
2021-10-02;06:29:18;-21.10;174.91;537; ;Mw;7.3;VANUATU REGION;2021-10-04 06:56;1043166;
2021-09-29;08:37:05;38.93;135.38;362; ;Mw;6.1;SEA OF JAPAN;2021-09-29 08:55;1042101;
2021-09-27;06:17:22;35.11;25.22;10;f;Mw;6.0;CRETE, GREECE;2021-09-27 06:41;1041084;
2021-09-24;11:52:29;51.26;-179.06;24; ;Mw;6.1;ANDREANOF ISLANDS, ALEUTIAN IS.;2021-09-24 13:52;1040259;
2021-09-22;09:57:08;12.16;-87.78;35; ;Mw;6.5;NEAR COAST OF NICARAGUA;2021-09-22 10:17;1039473;
2021-09-21;13:14:32;-36.79;-73.96;17;f;Mw;6.4;OFFSHORE BIO-BIO, CHILE;2021-09-21 14:17;1039168;
2021-09-20;20:25:23;46.38;152.43;9; ;Mw;6.0;KURIL ISLANDS;2021-09-20 20:52;1038217;
2021-09-13;05:18:11;-23.91;-66.97;171; ;Mw;6.2;JUJUY, ARGENTINA;2021-09-13 06:40;1034973;
